Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"TCL","Crops and livestock products","578","Norway","5610","Import quantity","21121","Meat of chickens, fresh or chilled","1961","1961","t","39","A","Official figure",""
"TCL","Crops and livestock products","578","Norway","5910","Export quantity","21121","Meat of chickens, fresh or chilled","1961","1961","t","29","A","Official figure",""
"TCL","Crops and livestock products","578","Norway","5610","Import quantity","21121","Meat of chickens, fresh or chilled","1962","1962","t","45","A","Official figure",""
"TCL","Crops and livestock products","578","Norway","5910","Export quantity","21121","Meat of chickens, fresh or chilled","1962","1962","t","16","A","Official figure",""
"TCL","Crops and livestock products","578","Norway","5610","Import quantity","21121","Meat of chickens, fresh or chilled","1963","1963","t","59","A","Official figure",""
"TCL","Crops and livestock products","578","Norway","5910","Export quantity","21121","Meat of chickens, fresh or chilled","1963","1963","t","1","A","Official figure",""
"TCL","Crops and livestock products","578","Norway","5610","Import quantity","21121","Meat of chickens, fresh or chilled","1964","1964","t","124","A","Official figure",""
"TCL","Crops and livestock products","578","Norway","5910","Export quantity","21121","Meat of chickens, fresh or chilled","1964","1964","t","0","A","Official figure",""
"TCL","Crops and livestock products","578","Norway","5610","Import quantity","21121","Meat of chickens, fresh or chilled","1965","1965","t","120","A","Official figure",""
"TCL","Crops and livestock products","578","Norway","5910","Export quantity","21121","Meat of chickens, fresh or chilled","1965","1965","t","0","A","Official figure",""
"TCL","Crops and livestock products","578","Norway","5610","Import quantity","21121","Meat of chickens, fresh or chilled","1966","1966","t","142","A","Official figure",""
"TCL","Crops and livestock products","578","Norway","5910","Export quantity","21121","Meat of chickens, fresh or chilled","1966","1966","t","0","A","Official figure",""
"TCL","Crops and livestock products","578","Norway","5610","Import quantity","21121","Meat of chickens, fresh or chilled","1967","1967","t","180","A","Official figure",""
"TCL","Crops and livestock products","578","Norway","5910","Export quantity","21121","Meat of chickens, fresh or chilled","1967","1967","t","0","A","Official figure",""
"TCL","Crops and livestock products","578","Norway","5610","Import quantity","21121","Meat of chickens, fresh or chilled","1968","1968","t","197","A","Official figure",""
"TCL","Crops and livestock products","578","Norway","5910","Export quantity","21121","Meat of chickens, fresh or chilled","1968","1968","t","0","A","Official figure",""
"TCL","Crops and livestock products","578","Norway","5610","Import quantity","21121","Meat of chickens, fresh or chilled","1969","1969","t","193","A","Official figure",""
"TCL","Crops and livestock products","578","Norway","5910","Export quantity","21121","Meat of chickens, fresh or chilled","1969","1969","t","0","A","Official figure",""
"TCL","Crops and livestock products","578","Norway","5610","Import quantity","21121","Meat of chickens, fresh or chilled","1970","1970","t","246","A","Official figure",""
"TCL","Crops and livestock products","578","Norway","5910","Export quantity","21121","Meat of chickens, fresh or chilled","1970","1970","t","0","A","Official figure",""
"TCL","Crops and livestock products","578","Norway","5610","Import quantity","21121","Meat of chickens, fresh or chilled","1971","1971","t","275","A","Official figure",""
"TCL","Crops and livestock products","578","Norway","5910","Export quantity","21121","Meat of chickens, fresh or chilled","1971","1971","t","1","A","Official figure",""
"TCL","Crops and livestock products","578","Norway","5610","Import quantity","21121","Meat of chickens, fresh or chilled","1972","1972","t","285","A","Official figure",""
"TCL","Crops and livestock products","578","Norway","5910","Export quantity","21121","Meat of chickens, fresh or chilled","1972","1972","t","0","A","Official figure",""
"TCL","Crops and livestock products","578","Norway","5610","Import quantity","21121","Meat of chickens, fresh or chilled","1973","1973","t","232","A","Official figure",""
"TCL","Crops and livestock products","578","Norway","5910","Export quantity","21121","Meat of chickens, fresh or chilled","1973","1973","t","0","A","Official figure",""
"TCL","Crops and livestock products","578","Norway","5610","Import quantity","21121","Meat of chickens, fresh or chilled","1974","1974","t","186","A","Official figure",""
